4616,/home/uchanlee/uchanlee/uchan_dataset/DATA/Mamma Mia! Here We Go Again,1,0,0,1,0,"Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.",3,"[1, 0, 0, 0, 0, 0, 1, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/Mamma Mia! Here We Go Again/audio.npy
1765,/home/uchanlee/uchanlee/uchan_dataset/DATA/The Originals,1,2,1,1,2,A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.,3,"[0, 0, 1, 0, 0, 1, 0, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/The Originals/audio.npy
4357,/home/uchanlee/uchanlee/uchan_dataset/DATA/Rampage,0,2,2,0,2,"When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.",3,"[0, 1, 0, 0, 0, 0, 0, 1, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/Rampage/audio.npy
3346,/home/uchanlee/uchanlee/uchan_dataset/DATA/Dick Tracy,1,2,0,1,1,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,3,"[0, 1, 0, 1, 0, 0, 1, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/Dick Tracy/audio.npy
1053,/home/uchanlee/uchanlee/uchan_dataset/DATA/Dexter,2,3,3,1,3,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",3,"[0, 0, 0, 1, 0, 1, 0, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/Dexter/audio.npy
1366,/home/uchanlee/uchanlee/uchan_dataset/DATA/The New Mutants,1,2,2,1,2,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",2,"[0, 1, 1, 0, 0, 0, 0, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/The New Mutants/audio.npy
3984,/home/uchanlee/uchanlee/uchan_dataset/DATA/Star Trek Voyager,0,1,0,1,2,"Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.",3,"[0, 1, 0, 0, 0, 0, 0, 1, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/Star Trek Voyager/audio.npy
2931,/home/uchanlee/uchanlee/uchan_dataset/DATA/Revenge,1,2,1,2,2,An emotionally troubled young woman sets out to exact revenge against the people who wronged her father.,2,"[0, 0, 0, 0, 1, 1, 0, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/Revenge/audio.npy
4079,/home/uchanlee/uchanlee/uchan_dataset/DATA/The Girl Next Door,3,3,3,2,3,Follows the unspeakable torture and abuses committed on a teenage girl in the care of her aunt and the boys who witness and fail to report the crime.,0,"[0, 0, 1, 1, 0, 1, 0, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/The Girl Next Door/audio.npy
1824,/home/uchanlee/uchanlee/uchan_dataset/DATA/The Broken Hearts Gallery,1,0,2,1,0,"After a break-up, a young woman decides to start a gallery where people can leave trinkets from past relationships.",2,"[1, 0, 0, 0, 0, 0, 1, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/The Broken Hearts Gallery/audio.npy
